close,ema_9,ema_20,ema_50,tick_rsi_14,macd,macd_signal,macd_hist,bb_lower,bb_mid,bb_upper,bb_width,dist_bb_mid,dist_bb_upper,dist_bb_lower,tick_volatility_14,volatility_variation,roc_5,roc_10,price_change_1,instant_volatility,up_freq_10,up_freq_20,avg_move_10,avg_move_20,micro_volatility_5,adx_14,mean_reversion_ratio,target_ticks,barrier_threshold,survived
4778.66,4778.602929127709,4778.621306628717,4778.742560352881,50.56639853503957,-0.042496928419495816,-0.06593659643476386,0.023439668015268048,4778.3232819484465,4778.60385,4778.884418051554,0.00011742678839298551,0.001175029396911274,0.004696254840363073,0.007046286020628416,0.0025008358615628214,0.0005320579417245567,0.007617778387936092,-0.0010044555976196357,0.0010000000002037268,2.0926372856777675e-07,0.5,0.5,2.1471218534940827e-05,1.7484264602418698e-05,0.0027001314680539985,16.008922466445988,0.3237790668375895,2,4.8599999999999995e-05,1
4778.66,4778.602929127709,4778.621306628717,4778.742560352881,50.56639853503957,-0.042496928419495816,-0.06593659643476386,0.023439668015268048,4778.3232819484465,4778.60385,4778.884418051554,0.00011742678839298551,0.001175029396911274,0.004696254840363073,0.007046286020628416,0.0025008358615628214,0.0005320579417245567,0.007617778387936092,-0.0010044555976196357,0.0010000000002037268,2.0926372856777675e-07,0.5,0.5,2.1471218534940827e-05,1.7484264602418698e-05,0.0027001314680539985,16.008922466445988,0.3237790668375895,3,5.11e-05,1
4778.689,4778.645980333255,4778.640043445024,4778.725802356446,51.69754215877097,-0.011405507079871313,-0.030734290231187157,0.019328783151315844,4778.317992023401,4778.60275,4778.887507976599,0.00011918043474084309,0.001804920904971459,0.0041540258551896365,0.0077638025115190626,0.0024955044966241736,1.9889614495071078e-05,0.00039760016909973217,0.002490284750478189,0.021000000000640284,4.394530023876797e-06,0.7,0.6,1.4585660057164774e-05,1.694026689103012e-05,0.002450393076878602,23.02590097086772,0.41053309611917477,2,4.8599999999999995e-05,1
4778.66,4778.602929127709,4778.621306628717,4778.742560352881,50.56639853503957,-0.042496928419495816,-0.06593659643476386,0.023439668015268048,4778.3232819484465,4778.60385,4778.884418051554,0.00011742678839298551,0.001175029396911274,0.004696254840363073,0.007046286020628416,0.0025008358615628214,0.0005320579417245567,0.007617778387936092,-0.0010044555976196357,0.0010000000002037268,2.0926372856777675e-07,0.5,0.5,2.1471218534940827e-05,1.7484264602418698e-05,0.0027001314680539985,16.008922466445988,0.3237790668375895,15,6.13e-05,0
4778.66,4778.602929127709,4778.621306628717,4778.742560352881,50.56639853503957,-0.042496928419495816,-0.06593659643476386,0.023439668015268048,4778.3232819484465,4778.60385,4778.884418051554,0.00011742678839298551,0.001175029396911274,0.004696254840363073,0.007046286020628416,0.0025008358615628214,0.0005320579417245567,0.007617778387936092,-0.0010044555976196357,0.0010000000002037268,2.0926372856777675e-07,0.5,0.5,2.1471218534940827e-05,1.7484264602418698e-05,0.0027001314680539985,16.008922466445988,0.3237790668375895,8,5.73e-05,0
4778.66,4778.602929127709,4778.621306628717,4778.742560352881,50.56639853503957,-0.042496928419495816,-0.06593659643476386,0.023439668015268048,4778.3232819484465,4778.60385,4778.884418051554,0.00011742678839298551,0.001175029396911274,0.004696254840363073,0.007046286020628416,0.0025008358615628214,0.0005320579417245567,0.007617778387936092,-0.0010044555976196357,0.0010000000002037268,2.0926372856777675e-07,0.5,0.5,2.1471218534940827e-05,1.7484264602418698e-05,0.0027001314680539985,16.008922466445988,0.3237790668375895,5,5.37e-05,0
4778.689,4778.645980333255,4778.640043445024,4778.725802356446,51.69754215877097,-0.011405507079871313,-0.030734290231187157,0.019328783151315844,4778.317992023401,4778.60275,4778.887507976599,0.00011918043474084309,0.001804920904971459,0.0041540258551896365,0.0077638025115190626,0.0024955044966241736,1.9889614495071078e-05,0.00039760016909973217,0.002490284750478189,0.021000000000640284,4.394530023876797e-06,0.7,0.6,1.4585660057164774e-05,1.694026689103012e-05,0.002450393076878602,23.02590097086772,0.41053309611917477,15,6.13e-05,0
4778.689,4778.645980333255,4778.640043445024,4778.725802356446,51.69754215877097,-0.011405507079871313,-0.030734290231187157,0.019328783151315844,4778.317992023401,4778.60275,4778.887507976599,0.00011918043474084309,0.001804920904971459,0.0041540258551896365,0.0077638025115190626,0.0024955044966241736,1.9889614495071078e-05,0.00039760016909973217,0.002490284750478189,0.021000000000640284,4.394530023876797e-06,0.7,0.6,1.4585660057164774e-05,1.694026689103012e-05,0.002450393076878602,23.02590097086772,0.41053309611917477,8,5.73e-05,0
4778.689,4778.645980333255,4778.640043445024,4778.725802356446,51.69754215877097,-0.011405507079871313,-0.030734290231187157,0.019328783151315844,4778.317992023401,4778.60275,4778.887507976599,0.00011918043474084309,0.001804920904971459,0.0041540258551896365,0.0077638025115190626,0.0024955044966241736,1.9889614495071078e-05,0.00039760016909973217,0.002490284750478189,0.021000000000640284,4.394530023876797e-06,0.7,0.6,1.4585660057164774e-05,1.694026689103012e-05,0.002450393076878602,23.02590097086772,0.41053309611917477,5,5.37e-05,0
4778.689,4778.645980333255,4778.640043445024,4778.725802356446,51.69754215877097,-0.011405507079871313,-0.030734290231187157,0.019328783151315844,4778.317992023401,4778.60275,4778.887507976599,0.00011918043474084309,0.001804920904971459,0.0041540258551896365,0.0077638025115190626,0.0024955044966241736,1.9889614495071078e-05,0.00039760016909973217,0.002490284750478189,0.021000000000640284,4.394530023876797e-06,0.7,0.6,1.4585660057164774e-05,1.694026689103012e-05,0.002450393076878602,23.02590097086772,0.41053309611917477,3,5.11e-05,0
4778.864,4778.764942035602,4778.710125353948,4778.742067538634,58.72151271396752,0.03811550341470138,0.00607369158057822,0.03204181183412316,4778.292939506667,4778.63805,4778.983160493332,0.00014443885045148708,0.004728334676864921,0.0024934899451596925,0.011949712177054622,0.0015976697297478307,-0.0008978347668763429,0.003662092260015015,0.0040597069896008975,0.0639999999993961,1.3392483468432914e-05,0.7,0.65,1.4773873187423624e-05,1.7683097588205854e-05,0.001047235996818382,24.418244554435674,2.0154376759330828,15,6.13e-05,0
4778.864,4778.764942035602,4778.710125353948,4778.742067538634,58.72151271396752,0.03811550341470138,0.00607369158057822,0.03204181183412316,4778.292939506667,4778.63805,4778.983160493332,0.00014443885045148708,0.004728334676864921,0.0024934899451596925,0.011949712177054622,0.0015976697297478307,-0.0008978347668763429,0.003662092260015015,0.0040597069896008975,0.0639999999993961,1.3392483468432914e-05,0.7,0.65,1.4773873187423624e-05,1.7683097588205854e-05,0.001047235996818382,24.418244554435674,2.0154376759330828,8,5.73e-05,0
4778.864,4778.764942035602,4778.710125353948,4778.742067538634,58.72151271396752,0.03811550341470138,0.00607369158057822,0.03204181183412316,4778.292939506667,4778.63805,4778.983160493332,0.00014443885045148708,0.004728334676864921,0.0024934899451596925,0.011949712177054622,0.0015976697297478307,-0.0008978347668763429,0.003662092260015015,0.0040597069896008975,0.0639999999993961,1.3392483468432914e-05,0.7,0.65,1.4773873187423624e-05,1.7683097588205854e-05,0.001047235996818382,24.418244554435674,2.0154376759330828,5,5.37e-05,0
4778.864,4778.764942035602,4778.710125353948,4778.742067538634,58.72151271396752,0.03811550341470138,0.00607369158057822,0.03204181183412316,4778.292939506667,4778.63805,4778.983160493332,0.00014443885045148708,0.004728334676864921,0.0024934899451596925,0.011949712177054622,0.0015976697297478307,-0.0008978347668763429,0.003662092260015015,0.0040597069896008975,0.0639999999993961,1.3392483468432914e-05,0.7,0.65,1.4773873187423624e-05,1.7683097588205854e-05,0.001047235996818382,24.418244554435674,2.0154376759330828,3,5.11e-05,0
4778.864,4778.764942035602,4778.710125353948,4778.742067538634,58.72151271396752,0.03811550341470138,0.00607369158057822,0.03204181183412316,4778.292939506667,4778.63805,4778.983160493332,0.00014443885045148708,0.004728334676864921,0.0024934899451596925,0.011949712177054622,0.0015976697297478307,-0.0008978347668763429,0.003662092260015015,0.0040597069896008975,0.0639999999993961,1.3392483468432914e-05,0.7,0.65,1.4773873187423624e-05,1.7683097588205854e-05,0.001047235996818382,24.418244554435674,2.0154376759330828,2,4.8599999999999995e-05,0
4778.937,4778.926230093847,4778.860176182388,4778.8062543975475,55.64297059979069,0.06961474555646419,0.05722049866511063,0.012394246891353558,4778.665022349251,4778.85775,4779.05047765075,8.06584589170813e-05,0.0016583460765237142,0.0023745374912810284,0.005691174643006378,0.0020802234836994594,1.0449622200180315e-05,0.0006486840293584706,0.004729308803130827,-0.04500000000007276,9.416231322889601e-06,0.7,0.65,1.4982606743441097e-05,1.503500979865291e-05,0.0012431832057101949,18.25648640460485,0.7727901291537412,15,6.13e-05,0
4778.937,4778.926230093847,4778.860176182388,4778.8062543975475,55.64297059979069,0.06961474555646419,0.05722049866511063,0.012394246891353558,4778.665022349251,4778.85775,4779.05047765075,8.06584589170813e-05,0.0016583460765237142,0.0023745374912810284,0.005691174643006378,0.0020802234836994594,1.0449622200180315e-05,0.0006486840293584706,0.004729308803130827,-0.04500000000007276,9.416231322889601e-06,0.7,0.65,1.4982606743441097e-05,1.503500979865291e-05,0.0012431832057101949,18.25648640460485,0.7727901291537412,8,5.73e-05,0
4778.937,4778.926230093847,4778.860176182388,4778.8062543975475,55.64297059979069,0.06961474555646419,0.05722049866511063,0.012394246891353558,4778.665022349251,4778.85775,4779.05047765075,8.06584589170813e-05,0.0016583460765237142,0.0023745374912810284,0.005691174643006378,0.0020802234836994594,1.0449622200180315e-05,0.0006486840293584706,0.004729308803130827,-0.04500000000007276,9.416231322889601e-06,0.7,0.65,1.4982606743441097e-05,1.503500979865291e-05,0.0012431832057101949,18.25648640460485,0.7727901291537412,5,5.37e-05,0
